rank,seed_name,torrent_name,size,price,score
1,"[合集][BBC][文明的轨迹,西方艺术史话][Civilisation][全13集][720p][Blu-ray][MKV][HANDJOB][历史,文化]",[BYRBT].Civilisation.1969.720p.BluRay.x264-HANDJOB.torrent,31.61GB,1,88.29190346158953
2,"[狮子王,狮子王真人版,狮子王真狮版][The.Lion.King.2019.720p.WEBRip.DD5.1.x264-SbR][剧情,动画,冒险][美国]",[BYRBT].The.Lion.King.2019.720p.WEBRip.DD5.1.x264-SbR.torrent,6.97GB,1,87.23797646628482
3,[2019-11-14][大陆][奇葩说 第六季][I.Can.I.BB.2019.E05.WEB-DL.1080P.H264.AAC-kfbyhyq][国语][中文字幕],[BYRBT].I.Can.I.BB.2019.Complete.WEB-DL.1080P.H264.AAC-kfbyhyq.torrent,2.18GB,2,93.82014357358182
4,[剧场][bilibili][青春猪头少年不会梦到怀梦美少女][Rascal Does Not Dream of a Dreaming Girl][MOVIE][1080p][WEB][..,[BYRBT].青春猪头少年不会梦到怀梦美少女.mp4.torrent,2.33GB,2,95.49742224467873
5,"[复仇者联盟4：终局之战][Avengers.Endgame.2019.1080p.WEBRip.DDP7.1.x264-Geek][动作,科幻,奇幻][美国]",[BYRBT].Avengers.Endgame.2019.1080p.WEBRip.DDP7.1.x264-Geek.mkv.torrent,22.10GB,3,95.75980523879988
6,"[复仇者联盟4：终局之战][Avengers.Endgame.2019.720p.WEBRip.DD.5.1.x264-TDD][动作,科幻,奇幻][美国]",[BYRBT].Avengers.Endgame.2019.720p.WEBRip.DD.5.1.x264-TDD.mkv.torrent,9.14GB,3,94.68226468330518
7,[连载][小疯映画][伍六七之最强发型师][Scissor Seven][05][1080p][WEB][MP4][2019.10][国产],[BYRBT].[Tencent][Scissor Seven][05][CHS][1080p][AVC_AAC][WEB][MP4].mp4.torrent,181.95MB,2,95.3140297651683
8,[欧美][美国谍梦][The.Americans.2013.S01.1080p.BluRay.Remux.DTS-HD.MA5.1.H.264-KDL][S01][MKV],[BYRBT].The.Americans.S01.1080p.Remux.BluRay.DTS-HD.MA.5.1.H.264-KDL.torrent,100.34GB,3,87.28679906937118
9,[欧美][曼达洛人][The.Mandalorian.S01E01.INTERNAL.HDR.2160p.WEB.H265-DEFLATE][S01E01][MKV],[BYRBT].The.Mandalorian.S01E01.INTERNAL.HDR.2160p.WEB.H265-DEFLATE.mkv.torrent,4.62GB,1,95.3111091698544
10,[欧美][瑞克和莫蒂][Rick.and.Morty.S04E01.WEB-720p.1280X720.中英双语-电波字幕组][S04E01][MP4],[BYRBT].瑞克与莫蒂.Rick.and.Morty.S04E01.WEB-720p.1280X720.中英双语-电波字幕组.mp4.torrent,342.74MB,2,95.4213482407273
11,[欧美][瑞克和莫蒂][Rick.and.Morty.S04E01.Edge.of.Tomorty.Rick.Die.Rickpeat.1080p.AMZN.WEB-DL.DD+5.1...,[BYRBT].Rick.and.Morty.S04E01.Edge.of.Tomorty.Rick.Die.Rickpeat.1080p.AMZN.WEB-DL.DD+5.1.H.264-CtrlHD.mkv.torrent,542.18MB,1,96.64888254373834
12,"[欧美][情事,婚外情事][The.Affair.S05.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb][S05][MKV]",[BYRBT].The.Affair.S05.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb.torrent,45.77GB,2,93.72984474654973
13,[视频][LOL][英雄联盟S9全球总决赛 决赛 FPX vs G2][2019-11-10][官方简体][MP4],[BYRBT].英雄联盟S9全球总决赛决赛FPX vs G2.torrent,5.36GB,2,94.03724583391353
14,[欧美][瑞克和莫蒂][rick.and.morty.s04e01.720p.hdtv.x264-w4f][S04E01][MKV],[BYRBT].rick.and.morty.s04e01.720p.hdtv.x264-w4f.mkv.torrent,500.68MB,1,96.47879749129568
15,[2019-11-10][大陆][2019天猫双十一狂欢夜][Tmall.Double.11.Evening.Gala.20191110.WEB-DL.1080P.H264.AAC-kf..,[BYRBT].Tmall.Double.11.Evening.Gala.20191110.WEB-DL.1080P.H264.AAC-kfbyhyq.mp4.torrent,7.92GB,2,95.15396558454079
16,"[2019-11-10][SBS Running Man E476][韩语][中文字幕][MKV,720P]",[BYRBT].[E476_20191110][KO_CN].mkv.torrent,1.45GB,2,95.06220366178417
17,[欧美][无耻之徒(美版)][Shameless.US.S10E01.1080p.WEB.h264-TBS][S10E01][MKV],[BYRBT].shameless.us.s10e01.1080p.web.h264-tbs.mkv.torrent,2.42GB,1,95.15219953322894
18,[连载][OPFansMaplesnow][海贼王][One.Piece][909][720p][TVRip][MP4],[BYRBT].[OPFansMaplesnow][One_Piece][909][MP4].mp4.torrent,244.89MB,2,95.13272937940278
19,[2019-11-09][大陆][中央广播电视总台2019主持人大赛][CCTV1.Compere.Competition.2019.E02.WEB-DL.1080P.H264.AAC-..,[BYRBT].CCTV1.Compere.Competition.2019.E02.WEB-DL.1080P.H264.AAC-kfbyhyq.mp4.torrent,1.36GB,2,95.34475291491746
20,"[魔发奇缘,缠结,莴苣公主][Tangled.2010.720p.BluRay.x264-CtrlHD][喜剧,动画,冒险][美国]",[BYRBT].Tangled.2010.720p.BluRay.x264-CtrlHD.mkv.torrent,4.37GB,4,95.26248163640753
21,[2019-11-09][大陆][奇葩说 第六季][I.Can.I.BB.2019.E04.WEB-DL.1080P.H264.AAC-kfbyhyq][国语][中文字幕],[BYRBT].I.Can.I.BB.2019.E04.WEB-DL.1080P.H264.AAC-kfbyhyq.mp4.torrent,1.80GB,2,96.66352390617519
22,[日韩][民王][Wise.and.Foolish.S01.1080p.NF.WEB-DL.DDP2.0.x264-TJUPT][全8集][MKV],[BYRBT].Wise.and.Foolish.S01.1080p.NF.WEB-DL.DDP2.0.x264-TJUPT.torrent,18.67GB,2,93.44595284326988
23,[欧美][绿鸡蛋和绿火腿][Green.Eggs.and.Ham.S01.1080p.NF.WEB-DL.DDP5.1.x264-TJUPT][S01][MKV],[BYRBT].Green.Eggs.and.Ham.S01.1080p.NF.WEB-DL.DDP5.1.x264-TJUPT.torrent,21.06GB,2,95.16453967396015
24,[欧美][小谢尔顿 第二季][Young.Sheldon.S02.720p.BluRay.DD5.1.x264-DON][S02][MKV],[BYRBT].Young.Sheldon.S02.720p.BluRay.DD5.1.x264-DON.torrent,16.80GB,2,94.08575117364515
25,[学习教程][习近平新时代中国特色社会主义思想三十讲课件][PPT][2018.11.23],[BYRBT].习近平新时代中国特色社会主义思想三十讲课件.torrent,5.17GB,2,95.46987346603089
