rank,seed_name,link,torrent_name,price,reviews,life,size,seeders,downloaders,finished_num,updowner
1,"[合集][BBC][文明的轨迹,西方艺术史话][Civilisation][全13集][720p][Blu-ray][MKV][HANDJOB][历史,文化]",https://bt.byr.cn/download.php?id=292483,[BYRBT].Civilisation.1969.720p.BluRay.x264-HANDJOB.torrent,1,1,7天14时,31.61GB,262,18,581,发布者匿名
2,"[狮子王,狮子王真人版,狮子王真狮版][The.Lion.King.2019.720p.WEBRip.DD5.1.x264-SbR][剧情,动画,冒险][美国]",https://bt.byr.cn/download.php?id=292956,[BYRBT].The.Lion.King.2019.720p.WEBRip.DD5.1.x264-SbR.torrent,1,0,4时25分,6.97GB,211,18,229,jipeng
3,[2019-11-14][大陆][奇葩说 第六季][I.Can.I.BB.2019.E05.WEB-DL.1080P.H264.AAC-kfbyhyq][国语][中文字幕],https://bt.byr.cn/download.php?id=292943,[BYRBT].I.Can.I.BB.2019.Complete.WEB-DL.1080P.H264.AAC-kfbyhyq.torrent,2,0,17时26分,2.18GB,271,6,456,kfbyhyq
4,[剧场][bilibili][青春猪头少年不会梦到怀梦美少女][Rascal Does Not Dream of a Dreaming Girl][MOVIE][1080p][WEB][..,https://bt.byr.cn/download.php?id=292871,[BYRBT].青春猪头少年不会梦到怀梦美少女.mp4.torrent,2,6,1天22时,2.33GB,130,0,334,ikarosbuaa
5,"[复仇者联盟4：终局之战][Avengers.Endgame.2019.1080p.WEBRip.DDP7.1.x264-Geek][动作,科幻,奇幻][美国]",https://bt.byr.cn/download.php?id=292862,[BYRBT].Avengers.Endgame.2019.1080p.WEBRip.DDP7.1.x264-Geek.mkv.torrent,3,1,2天2时,22.10GB,279,3,459,发布者匿名
6,"[复仇者联盟4：终局之战][Avengers.Endgame.2019.720p.WEBRip.DD.5.1.x264-TDD][动作,科幻,奇幻][美国]",https://bt.byr.cn/download.php?id=292861,[BYRBT].Avengers.Endgame.2019.720p.WEBRip.DD.5.1.x264-TDD.mkv.torrent,3,1,2天2时,9.14GB,186,3,328,发布者匿名
7,[连载][小疯映画][伍六七之最强发型师][Scissor Seven][05][1080p][WEB][MP4][2019.10][国产],https://bt.byr.cn/download.php?id=292860,[BYRBT].[Tencent][Scissor Seven][05][CHS][1080p][AVC_AAC][WEB][MP4].mp4.torrent,2,0,2天2时,181.95MB,114,0,285,发布者匿名
8,[欧美][美国谍梦][The.Americans.2013.S01.1080p.BluRay.Remux.DTS-HD.MA5.1.H.264-KDL][S01][MKV],https://bt.byr.cn/download.php?id=292847,[BYRBT].The.Americans.S01.1080p.Remux.BluRay.DTS-HD.MA.5.1.H.264-KDL.torrent,3,1,2天6时,100.34GB,153,21,219,发布者匿名
9,[欧美][曼达洛人][The.Mandalorian.S01E01.INTERNAL.HDR.2160p.WEB.H265-DEFLATE][S01E01][MKV],https://bt.byr.cn/download.php?id=292828,[BYRBT].The.Mandalorian.S01E01.INTERNAL.HDR.2160p.WEB.H265-DEFLATE.mkv.torrent,1,3,2天20时,4.62GB,103,0,217,发布者匿名
10,[欧美][瑞克和莫蒂][Rick.and.Morty.S04E01.WEB-720p.1280X720.中英双语-电波字幕组][S04E01][MP4],https://bt.byr.cn/download.php?id=292789,[BYRBT].瑞克与莫蒂.Rick.and.Morty.S04E01.WEB-720p.1280X720.中英双语-电波字幕组.mp4.torrent,2,0,3天7时,342.74MB,126,0,400,发布者匿名
11,[欧美][瑞克和莫蒂][Rick.and.Morty.S04E01.Edge.of.Tomorty.Rick.Die.Rickpeat.1080p.AMZN.WEB-DL.DD+5.1...,https://bt.byr.cn/download.php?id=292782,[BYRBT].Rick.and.Morty.S04E01.Edge.of.Tomorty.Rick.Die.Rickpeat.1080p.AMZN.WEB-DL.DD+5.1.H.264-CtrlHD.mkv.torrent,1,9,3天16时,542.18MB,269,0,686,发布者匿名
12,"[欧美][情事,婚外情事][The.Affair.S05.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb][S05][MKV]",https://bt.byr.cn/download.php?id=292760,[BYRBT].The.Affair.S05.1080p.AMZN.WEB-DL.DDP5.1.H.264-NTb.torrent,2,2,3天21时,45.77GB,101,5,211,发布者匿名
13,[视频][LOL][英雄联盟S9全球总决赛 决赛 FPX vs G2][2019-11-10][官方简体][MP4],https://bt.byr.cn/download.php?id=292756,[BYRBT].英雄联盟S9全球总决赛决赛FPX vs G2.torrent,2,9,3天22时,5.36GB,122,3,263,发布者匿名
14,[欧美][瑞克和莫蒂][rick.and.morty.s04e01.720p.hdtv.x264-w4f][S04E01][MKV],https://bt.byr.cn/download.php?id=292751,[BYRBT].rick.and.morty.s04e01.720p.hdtv.x264-w4f.mkv.torrent,1,16,4天0时,500.68MB,249,0,676,发布者匿名
15,[2019-11-10][大陆][2019天猫双十一狂欢夜][Tmall.Double.11.Evening.Gala.20191110.WEB-DL.1080P.H264.AAC-kf..,https://bt.byr.cn/download.php?id=292714,[BYRBT].Tmall.Double.11.Evening.Gala.20191110.WEB-DL.1080P.H264.AAC-kfbyhyq.mp4.torrent,2,0,4天13时,7.92GB,77,0,186,发布者匿名
16,"[2019-11-10][SBS Running Man E476][韩语][中文字幕][MKV,720P]",https://bt.byr.cn/download.php?id=292708,[BYRBT].[E476_20191110][KO_CN].mkv.torrent,2,0,4天15时,1.45GB,82,0,256,EternityHao
